i find the major problem with this item is that if you have a very messy diaper and can 't tightly bundle it without a mess , the mess gets all over the module that dumps the diaper and the stink is outside of the diaper pail	1
it 's fast , feels great in your hand and looks great too	0
other than this , i am very pleased with the router and would buy it again	0
there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board	1
the program is fully featured , with much of what you 'd want from a security program	0
having the digic ii chip helps a lot	0
then the most disappointing was trying to use viper raised panel bits that just barely fit , and i mean just barely	1
was a bit wary because the software is windows only and i have an mac	1
could be better to be a perfect camera \( and some competitors do some of this better \) purple fringing , details in high light area , noise over iso100 , red eyes , \( few \) processing artefact 's , \( few \) loss of some details especially of the hairs of peoples in low light , automatic autofocus , whizzing while video playback , better video compression \( smaller viedo files \) , more manual controls , longer lasting battery , indicator for battery , better protection of the lcd , less weight	0
however , it is much bigger , bulkier , and heavier than my other router and i would not like to use it freehand \( i keep it mounted in a table \)	1
i was using a motorola t720i with verizon and i had alot of dropped calls and i had troubles syncing data	1
only if we could get one camera in it	1
the sound is excellent as one would suspect from a creative product	0
one drop from a pocket or desktop , and it 'd be a goner	1
utility its got a huge list of features including an fm recorder a calender and contacts list	0
it fits into a hand well , it has a removable battery \( this is important \) , great sound quality , fm stereo , recorder , smooth ui , and a feature that most uni pods lack char !	0
it is small overall , bigger than the ipod , but keep in mind that this is because different , less expensive but not necessarily inferior technology is used in the zx	0
the picture is perfect , although i 'm not watching on an hdtv	0
i prefer things that are simple	0
finally , after about a week 's use , the screen started to freeze on me	1
crappy headphones	1
1 \) fragile \( i broke the 1st one within 10 days \)	1
the best 4 megapixel 4x optical zoom camera available and fairly easy to use	0
luckily the soft start helped before it took the wood and tossed it or worse case , a finger	1
but , sometimes , if the champ is too full , the flip handle won 't function	1
its quiet	1
the player works well with my sony srs a 202 powered speakers	0
first i 'll start off by saying that this players hardware is pretty good	0
i don 't know if we 'll run into trouble down the road with odors , but so far i have no complaints and i 'm very happy not to have to buy those refills	0
i am very pleased so far	0
the interface used could be better designed	1
you can do other different things with it such as choose what kind of `` now playing `` interface , you can see the interface as modern or classical	0
this holds alot and does not take up alot of space	0
reviews for sound quality are generally \( but not universally \) positive	0
very simple and painless	0
i love the touchpaper controls	0
i love the features , the interface , the size \( the screen is a delight \) , the camera \( though i admit i 'm not much of a camera user so just a toy for me \) , the internet connectivity , the quality , etc	0
one of my favorite features about the player is its ability to sync to windows media player	0
buy this if you like mental challenges or trying how to pick locks	1
i had to sit on the phone with customer support for 2 hours and they did not help at all	1
i 've have many nokia 's and while this is the best for features , it 's the worst as a phone	1
this is the fourth version of systemworks and the second version of internet security that i have used and it has always been a favorite	0
proven canon built quality and lens	0
i have no problem using itunes with the zen micro \( in a makeshift sorta way \)	0
songs transfer lightning fast , and the two batteries that came in my box give me 24 hours of listen time	0
great video clip quality for a digital camera so much better than my old one \( canon a60 \( \? \) the 2 0 megapixel one \)	0
i use the router with a 3 1 2in raised panel bit with no problems	0
power for the tech savvy , ease of use for the less fortunate	0
bottom line great product , unbeatable price	0
however since this router is backward compatible , that doesn 't pose a problem at all	0
durability not good first problem , if you haven 't seen the news recently , the ipods are being recalled for battery problems and not lasting the advertised 18 months	1
i would give it about 6 or 7 hours , although it will probably get better after a few charge cycles	1
